retailer_moniker,order_count,orders_production_cost_usd,orders_volume_share,consumption_cost_usd,consumption_slot_hours,query_count,consumption_to_production_ratio,net_cost_imbalance
tillys,49174285,214.15,0.004727113479928132,0.0,0.0,0,0.0,214.15
tatacliq,48124404,209.58,0.00462618864436783,0.0,0.0,0,0.0,209.58
cvs,47062640,204.95,0.004524121498563831,0.0,0.0,0,0.0,204.95
petsathome,45370368,197.58,0.004361443753825804,0.6391999999999999,12.6,414,0.0032,196.94
ralphlauren,41704594,181.62,0.004009053684712037,0.0028,0.06,4,0.0,181.62
ipsy-beauty,39539154,172.19,0.0038008904015249903,0.0,0.0,0,0.0,172.19
vuoriclothing,38832699,169.11,0.003732979033754973,0.14780000000000001,2.96,130,9.0E-4,168.96
baublebar,37317771,162.51,0.003587349329735473,0.0,0.0,0,0.0,162.51
warbyparker,36882555,160.62,0.003545512108914054,0.13940000000000002,3.040000000000002,328,9.0E-4,160.48
coachoutlet,36589081,159.34,0.003517300516179997,0.1444,2.94,76,9.0E-4,159.2
becausemarket,35862524,156.18,0.0034474567474574594,0.0,0.0,0,0.0,156.18
levi,35508690,154.64,0.0034134427608574127,7.1918000000000015,144.02000000000007,3856,0.0465,147.45
bark,35098625,152.85,0.0033740233002766086,0.0,0.0,0,0.0,152.85
asics,34583098,150.6,0.003324465800234322,1.4873999999999998,30.33999999999998,332,0.0099,149.11
fabletics,34076688,148.4,0.0032757847154484343,0.0,0.0,0,0.0,148.4
soldejaneiro,34044331,148.26,0.003272674243971929,0.0,0.0,0,0.0,148.26
basspro,34004506,148.09,0.0032688458752556755,0.06820000000000002,1.3400000000000003,122,5.0E-4,148.02
heydude,32535106,141.69,0.003127592768120383,0.0,0.0,0,0.0,141.69
freepeople,31656847,137.86,0.0030431659186447232,0.0,0.0,0,0.0,137.86
cabelas,30289584,131.91,0.002911731219433398,0.12879999999999997,2.5799999999999996,108,0.001,131.78
shoedazzle,30259870,131.78,0.002908874818980548,0.0,0.0,0,0.0,131.78
taylormade,30090289,131.04,0.002892573033788558,0.13660000000000005,2.759999999999998,392,0.001,130.9
jcrewfactory,29430768,128.17,0.00282917342138147,0.0,0.0,0,0.0,128.17
teambeachbody,28351685,123.47,0.002725441403818606,0.0,0.0,0,0.0,123.47
anntaylor,26767237,116.57,0.0025731287570959303,0.0,0.0,0,0.0,116.57
vuse,26655190,116.08,0.002562357702995489,0.0,0.0,0,0.0,116.08
anthropologie,26139742,113.84,0.0025128077972062742,0.0,0.0,0,0.0,113.84
lanebryant,25983947,113.16,0.0024978312572402047,0.0,0.0,0,0.0,113.16
bostonproper,25825167,112.47,0.002482567769863764,0.0,0.0,0,0.0,112.47
buckle,25787999,112.3,0.0024789948179881655,0.0,0.0,0,0.0,112.3
belkxstorepos,25609440,111.53,0.002461829979579992,0.0,0.0,0,0.0,111.53
off5th,25599690,111.48,0.002460892714169233,0.0,0.0,0,0.0,111.48
newbalance,25381273,110.53,0.0024398963347618766,3.0065999999999997,57.839999999999996,3220,0.0272,107.52
backcountry,25180741,109.66,0.0024206192365721023,0.0,0.0,0,0.0,109.66
express,25088262,109.26,0.0024117292501186077,0.108,2.1799999999999997,56,0.001,109.15
underarmour,24739053,107.74,0.002378159863777511,0.0,0.0,0,0.0,107.74
therealreal,24278133,105.73,0.002333851722943974,0.0,0.0,0,0.0,105.73
duluthtrading,23653087,103.01,0.0022737661848995436,0.40480000000000005,7.980000000000001,342,0.0039,102.61
ohpolly,23419039,101.99,0.002251267200811616,0.0,0.0,0,0.0,101.99
vansnora,23313912,101.53,0.0022411613648283496,1.0970000000000004,22.239999999999995,302,0.0108,100.43
summitracing,23311646,101.52,0.0022409435347339104,1.2777999999999998,24.80000000000001,2660,0.0126,100.24
madewell,22716841,98.93,0.002183765057539404,0.10439999999999999,2.08,64,0.0011,98.83
amway,22606791,98.45,0.002173185974621044,0.0,0.0,0,0.0,98.45
jtv,22390895,97.51,0.002152431938403485,0.0,0.0,0,0.0,97.51
pura,22227897,96.8,0.002136762975590882,0.0,0.0,0,0.0,96.8
carters,22188374,96.63,0.002132963638069916,0.0,0.0,0,0.0,96.63
pangaiaeu,21743883,94.69,0.002090234813485954,0.0,0.0,0,0.0,94.69
stanley1913,21663623,94.34,0.0020825194368841583,0.0,0.0,0,0.0,94.34
pinklily,20883312,90.94,0.002007508307660089,0.0,0.0,0,0.0,90.94
michaelkors2,20809451,90.62,0.0020004080655571087,0.3908,7.639999999999999,420,0.0043,90.23
loopearplugs,20798549,90.58,0.0019993600586332015,0.0,0.0,0,0.0,90.58
jjill,20662779,89.98,0.001986308517626152,0.069,1.4,12,8.0E-4,89.91
jwpepper,20472819,89.16,0.0019680477035309975,0.0,0.0,0,0.0,89.16
michaelkors,20185377,87.9,0.001940415965664397,0.011,0.22,4,1.0E-4,87.89
