retailer_moniker,production_cost_usd,production_volume_share,consumption_cost_usd,consumption_slot_hours,query_count,consumption_to_production_ratio,net_cost_imbalance
patagonia,87.18,0.007343923999330123,0.19919999999999996,4.000000000000001,72,0.0023,86.98
hannaandersson,82.43,0.00694355560613895,0.0,0.0,0,0.0,82.43
talbotshww,79.72,0.006715208197801068,0.0,0.0,0,0.0,79.72
belk,75.57,0.006366264472515408,0.0018,0.04,4,0.0,75.57
eddiebauer,72.8,0.006132971542923634,0.0,0.0,0,0.0,72.8
crewclothing,71.39,0.006013425602171373,12.303399999999996,248.96000000000004,2024,0.1723,59.09
carters,71.36,0.006011215435593306,0.0,0.0,0,0.0,71.36
sweatybetty,71.35,0.006010296356422229,0.0,0.0,0,0.0,71.35
asics,70.32,0.005923487140430243,1.4873999999999996,30.33999999999998,332,0.0212,68.83
rei-co-op,70.1,0.005905149322683511,0.0,0.0,0,0.0,70.1
landsend,66.0,0.00555961932003328,0.0,0.0,0,0.0,66.0
seasaltcornwall,63.7,0.005366240685871147,0.089,1.7800000000000002,124,0.0014,63.61
altardstate,63.39,0.00533963115558472,1.298599999999999,26.000000000000007,846,0.0205,62.09
uniformadvantage,61.1,0.005147302897618103,0.0,0.0,0,0.0,61.1
off5th,60.98,0.005136886667012562,0.0,0.0,0,0.0,60.98
columbia1,59.91,0.005046576197035519,0.4868,9.82,282,0.0081,59.42
dsw,57.22,0.004820176361226824,1.1152000000000002,22.619999999999997,476,0.0195,56.1
huckberry,56.69,0.004775469724405138,142.7670000000001,2889.58,15776,2.5184,-86.08
duluthtrading,55.12,0.004642881612558543,0.40480000000000005,7.98,342,0.0073,54.72
neimanmarcus,54.88,0.0046232745902422285,0.07920000000000003,1.620000000000001,148,0.0014,54.8
bananarepublicca,54.48,0.004589049832538304,0.0,0.0,0,0.0,54.48
backcountry,54.35,0.004578283476534256,0.0,0.0,0,0.0,54.35
clarks,52.51,0.0044234624018825545,0.6321999999999999,12.540000000000001,826,0.012,51.88
michaelkors,51.57,0.004344487241682131,0.011,0.22,4,2.0E-4,51.56
carhartt,51.5,0.004338097453159403,0.26299999999999996,5.380000000000001,92,0.0051,51.24
thenorthfacenora,48.33,0.0040715644935470025,9.777200000000004,198.19999999999993,1870,0.2023,38.55
lanebryant,43.29,0.0036470593306963494,0.0,0.0,0,0.0,43.29
hush,42.65,0.003592899308115012,0.7718000000000004,14.900000000000002,1168,0.0181,41.88
maurices,40.38,0.003401358832295033,0.9294000000000002,18.79999999999999,210,0.023,39.45
titlenine,40.29,0.003394334441487514,0.3343999999999999,6.74,78,0.0083,39.96
ariat,39.24,0.0033058621298526257,0.025599999999999998,0.54,66,7.0E-4,39.21
coachoutlet,37.58,0.0031657463219381594,0.14440000000000003,2.9399999999999995,76,0.0038,37.44
puma,37.24,0.0031372548676347647,1.5694,31.68,1130,0.0421,35.67
tory-burch,35.52,0.0029918434130679007,0.8418000000000002,16.939999999999994,454,0.0237,34.68
carhartt-wip,34.92,0.0029412502929838393,0.17020000000000002,3.2600000000000002,286,0.0049,34.75
merrell,34.33,0.0028915543692334482,4.529000000000003,91.61999999999996,326,0.1319,29.8
vansnora,33.95,0.0028596710751320306,1.0970000000000004,22.239999999999995,302,0.0323,32.85
luckybrand,32.39,0.002728352167855018,0.0,0.0,0,0.0,32.39
vans,32.22,0.00271430338623998,0.8028000000000001,16.139999999999993,186,0.0249,31.42
eileenfisher,32.04,0.002699379291128678,0.0,0.0,0,0.0,32.04
converse,30.53,0.0025720649430970733,0.0,0.0,0,0.0,30.53
brooksbrothers,28.42,0.002393872998095121,0.0,0.0,0,0.0,28.42
tjmaxx,27.99,0.002357547488000163,0.1638,3.3600000000000003,92,0.0059,27.83
reitmans,26.99,0.0022737799864076943,1.9111999999999996,39.079999999999984,1374,0.0708,25.08
summitracing,26.87,0.002263254341615119,1.2777999999999994,24.800000000000015,2660,0.0476,25.59
calvinklein2,26.71,0.002249993342146719,0.0,0.0,0,0.0,26.71
dickies,25.82,0.0021753509837528027,0.0,0.0,0,0.0,25.82
columbia,25.01,0.0021071859452312406,0.7211999999999998,14.719999999999999,100,0.0288,24.29
prana,24.69,0.0020802481723837148,0.0,0.0,0,0.0,24.69
menswearhouse,24.58,0.002070313364201118,0.0012,0.02,2,0.0,24.58
colehaan,24.11,0.002030596014308137,0.0,0.0,0,0.0,24.11
timberland,23.57,0.001985145361014627,0.9360000000000002,18.6,396,0.0397,22.63
josbank,23.37,0.001968952061333742,0.01,0.18,16,4.0E-4,23.36
ouraring,23.29,0.0019616431936399373,1.593,32.300000000000004,400,0.0684,21.7
petermillar,23.12,0.001947725709049339,2.0818000000000003,41.57999999999999,614,0.09,21.04
tommy2,21.74,0.0018312871312088147,0.0,0.0,0,0.0,21.74
clarksoutlet,21.18,0.0017838451397113038,0.040999999999999995,0.8200000000000001,20,0.0019,21.14
aeropostale,21.0,0.0017690085759496281,0.0,0.0,0,0.0,21.0
finishline,20.45,0.0017227920233468868,0.0262,0.5800000000000001,60,0.0013,20.42
bergdorfgoodman,19.53,0.001645436193114552,0.0,0.0,0,0.0,19.53
tommybahama,18.61,0.0015679490658577777,0.0,0.0,0,0.0,18.61
athletaca,18.6,0.0015669862210118874,0.0,0.0,0,0.0,18.6
jockey,18.45,0.0015542941753160587,0.0,0.0,0,0.0,18.45
partstown,17.82,0.0015013158259546777,0.0,0.0,0,0.0,17.82
rapha,16.46,0.001386605992269275,32.3038,646.6800000000006,12870,1.9626,-15.84
altrarunning,16.45,0.001385883858634857,0.0,0.0,0,0.0,16.45
cabelas,16.27,0.001370806583661709,0.12880000000000003,2.58,108,0.0079,16.14
saucony,16.02,0.0013491206917917674,1.5227999999999997,30.7,84,0.0951,14.5
rw-co,15.64,0.0013174781089018222,0.043199999999999995,0.68,98,0.0028,15.6
rag-bone-returns,14.75,0.0012428357505079061,0.6558,13.059999999999999,296,0.0445,14.09
coach,14.69,0.0012372337441318162,0.008,0.18,22,5.0E-4,14.68
timberlandna,14.55,0.001226051614217043,0.1366,2.76,74,0.0094,14.41
basspro,14.5,0.0012215218668738767,0.0682,1.34,122,0.0047,14.43
marshalls,14.08,0.0011856996620392708,0.0,0.0,0,0.0,14.08
goreweareu,13.95,0.0011753928456207617,2.0E-4,0.0,40,0.0,13.95
